2093,1979,34,0,130,9,0,1979-12-03,R/34/449,0,1,TRAVEL ASSISTANCE,TO APPROVE A RESOLUTION EXPLORING WAYS AND MEANS OF PROVIDING ASSISTANCE FOR TRAVEL AND PER DIEM EXPENSES TO ENABLE DELEGATIONS OF THE LEAST DEVELOPED COUNTRIES TO PARTICIPATE IN THE MEETINGS OF THE PREPARATORY COMMITTEE FOR THE UNITED NATIONS,0,0,0,0,0,0,0,34123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2094,1980,35,23,97,24,0,1980-10-07,R/35/6,0,0,KAMPUCHEA,"TO APPROVE A RESOLUTION CALLING FOR A CONFERENCE TO NEGOTIATE AN AGREEMENT REACHING A TOTAL WITHDRAWL OF FOREIGN TROOPS FROM KAMPUCHEA AND URGING THE COUNTRIES OF SOUTHEAST ASIA TO ESTABLISH A ZONE OF PEACE, FREEDOM, AND NEUTRALITY IN THE AREA.",0,0,0,0,0,0,0,35001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2095,1980,35,47,70,0,0,1980-10-01,R/35/8,0,0,PRESERVING NATURE,"TO APPROVE A RESOLUTION CALLING UPON STATES TO DEMONSTRATE DUE CONCERN AND TAKE THE MEASURES NECESSARY FOR PRESERVING NATURE, AND REQUESTING THE SECRETARY-GENERAL TO PREPARE A REPORT ON THE PERNICIOUS EFFECTS OF THE ARMS RACE ON NATURE.",0,0,1,0,0,0,0,35002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2096,1980,35,12,111,22,0,1980-11-04,R/35/37,0,0,"AFGHANISTAN, SELF-DETERMINATION","TO APPROVE A RESOLUTION REAFFIRMING THE RIGHT OF THE AFGHAN PEOPLE TO DETERMINE THEIR OWN FORM OF GOVERNMENT AND TO CHOOSE THEIR ECONOMIC, POLITICAL AND SOCIAL SYSTEM FREE FROM OUTSIDE INTERVENTION AND CALLING FOR THE IMMEDIATE WITHDRAWL OF FOR",0,0,0,1,1,1,0,35003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2097,1980,35,26,104,1,0,1980-11-05,R/35/43,0,0,"COMOROS, MAYOTTE",TO APPROVE A RESOLUTION REAFFIRMING THE SOVEREIGNTY OF THE ISLAMIC FEDERAL REPUBLIC OF THE COMOROS OVER THE ISLAND OF MAYOTTE.,0,0,0,0,0,0,0,35004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2098,1980,35,20,121,6,0,1980-12-06,R/35/118,0,0,"APARTHEID, LEGALITY",TO APPROVE A RESOLUTION REAFFIRMING THAT THE POLICY OF APARTHEID OF THE SOUTH AFRICAN REGIME AND ITS ILLEGAL OCCUPATION OF NAMIBIA VIOLATE THE PRINCIPLES ENSHRINED IN THE UNITED NATIONS CHARTER AND CONSTITUTE A THREAT TO INTERNATIONAL PEACE AND,0,0,0,0,0,0,0,35005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2099,1980,35,9,134,3,0,1980-12-06,R/35/119,0,0,"COLONIZATION, LEGALITY",TO APPROVE A RESOLUTION AFFIRMING THAT THE CONTINUATION OF COLONIALISM IN ALL ITS FORMS- INCLUDING RACISM AND APARTHEID- IS INCOMPATABLE WITH THE CHARTER OF THE UNITED NATIONS AND POSES A SERIOUS THREAT TO INTERNATIONAL PEACE AND SECURITY AND S,0,0,0,1,1,0,0,35006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2100,1980,35,4,143,0,0,1980-12-06,R/35/120,0,0,"DECOLONIZATION, INFORMATION",TO APPROVE A RESOLUTION REQUESTING THE SECRETARY-GENERAL TO CONTINUE TO TAKE CONCRETE MEASURES TO GIVE WIDESPREAD AND CONTINUOUS PUBLICITY TO THE WORK OF THE UNITED NATIONS IN THE FIELD OF DECOLONIZATION.,0,0,0,0,1,0,0,35007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2101,1980,35,25,120,0,0,1980-12-07,R/35/159,0,0,"INTERFERENCE, INTERNAL AFFAIRS",TO APPROVE A RESOLUTION REQUESTING THE AD HOC WORKING GROUP OF THE FIRST COMMITTEE ON THE DECLARATION ON INADMISSIBILITY OF INTERVENTION AND INTERFERENCE IN THE INTERNAL AFFAIRS OF STATES TO CONTINUE ITS DISCUSSIONS AND NEGOTIATIONS AT THE 36TH,0,0,0,0,0,0,0,35008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2102,1980,35,32,98,16,0,1980-12-03,R/35/169A,0,0,MIDDLE EAST PEACE,TO APPROVE A RESOLUTION REAFFIRMING THAT A JUST AND LASTING PEACE IN THE MIDDLE EAST CANNOT BE ESTABLISHED WITHOUT THE ACHIEVEMENT OF A JUST SOLUTION OF THE PROBLEM OF PALESTINE ON THE BASIS OF ATTAINMEMNT OF THE INALIENABLE RIGHTS OF THE PALES,1,0,0,1,0,0,0,35009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2103,1980,35,41,85,22,0,1980-12-03,R/35/169B,0,1,"PALESTINE, RIGHTS COMMITTEE","TO APPROVE A RESOLUTION DECLARING THAT ALL PARTIAL AGREEMENTS AND SEPARATE TREATIES WHICH IGNORE, INFRINGE, VIOLATE OR DENY THE INALIENABLE RIGHTS OF THE PALESTINIAN PEOPLE HAVE NO VALIDITY IN SO FAR AS THEY PURPORT TO DETERMINE THE FUTURE OF T",1,0,0,1,0,0,0,35010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2104,1980,35,23,120,3,0,1980-12-03,R/35/169C,0,0,"PALESTINE, RIGHTS COMMITTEE",TO APPROVE A RESOLUTION REQUESTING THE COMMITTEE ON THE EXERCISE OF THE INALIENABLE RIGHTS OF THE PALESTINIAN PEOPLE TO KEEP THE SITUATION RELATING TO THE QUESTION OF PALESTINE UNDER REVIEW AND TO REPORT AND MAKE SUGGESTIONS TO THE GENERAL ASSE,1,0,0,1,0,0,0,35011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2105,1980,35,23,120,4,0,1980-12-03,R/35/169D,0,0,"PALESTINE, RIGHTS, COMMITTEE",TO APPROVE A RESOLUTION REQUESTING THE SECRETARY-GENERAL TO ENSURE THAT THE SPECIAL UNIT ON PALESTINIAN RIGHTS CONTINUES TO DISCHARGE ITS TASKS AS OUTLINED IN RESOLUTIONS 32/40 B AND 34/65 D.,1,0,0,1,0,0,0,35012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2106,1980,35,4,143,1,0,1980-12-03,R/35/169E,0,0,JERUSALEM,"TO APPROVE A RESOLUTION DETERMINING THAT ALL LEGISLATIVE AND ADMINISTRATIVE MEASURES AND ACTIONS TAKEN BY ISRAEL WHICH HAVE ALTERED OR PURPORT TO ALTER THE CHARACTER AND STATUS OF JERUSALEM, IN PARTICULAR THE \BASIC LAW\\ ON JERUSALEM, ARE NULL""",1,0,0,0,0,0,0,35013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2107,1980,35,15,118,10,0,1980-12-04,R/35/206A,0,0,"SOUTH AFRICA, OPPRESSED PEOPLE","TO APPROVE A RESOLUTION REAFFIRMING THE LEGITIMACY OF THE STRUGGLE OF THE OPPRESSED PEOPLE OF SOUTH AFRICA AND THEIR NATIONAL LIBERATION MOVEMENT BY ALL AVAILABLE MEANS, INCLUDING ARMED STRUGGLE, AND CONDEMNING THE COLLABORATION OF CERTAIN WEST",0,0,0,0,0,0,0,35014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2108,1980,35,12,128,4,0,1980-12-04,R/35/206B,0,0,NUCLEAR COLLABORATION,"TO APPROVE A RESOLUTION CONDEMNING ALL STATES WHICH VIOLATE THE ARMS EMBARGO AND CONTINUE TO COLLABORATE WITH SOUTH AFRICA IN THE MILITARY AND NUCLEAR FIELDS, IN PARTICULAR CERTAIN WESTERN STATES AND ISRAEL.",1,1,1,0,0,0,0,35015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2109,1980,35,20,115,10,0,1980-12-04,R/35/206C,0,0,"SOUTH AFRICA, SEVERING OF TIES","TO APPROVE A RESOLUTION AGAIN CONDEMNING THE CONTINUED ECONOMIC AND OTHER COLLABORATION BY CERTAIN WESTERN AND OTHER STATES WITH SOUTH AFRICA AND CALLING UPON GOVERNMENTS WHICH HAVE NOT DONE SO TO SEVER DIPLOMATIC, MILITARY, NUCLEAR, ECONOMIC,",0,1,0,0,0,1,0,35016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2110,1980,35,13,124,7,0,1980-12-04,R/35/206D,0,0,"SOUTH AFRICA, OIL EMBARGO",TO APPROVE A RESOLUTION URGING STATES TO TAKE EFFECTIVE LEGISLATIVE AND OTHER MEASURES TO ENSURE THE IMPLEMENTATION OF AN OIL EMBARGO AGAINST SOUTH AFRICA.,0,0,0,0,0,0,0,35017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2111,1980,35,13,123,8,0,1980-12-04,R/35/206E,0,0,"SOUTH AFRICA, SEVERING OF TIES","TO APPROVE A RESOLUTION REQUESTING ALL STATES TO TAKE STEPS TO PREVENT ALL CULTURAL, ACADEMIC, SPORTING AND OTHER EXCHANGES WITH SOUTH AFRICA.",0,0,0,0,0,0,0,35018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2112,1980,35,16,120,7,0,1980-12-04,R/35/206F,0,0,"SOUTH AFRICA, ECONOMIC ISOLATION",TO APPROVE A RESOLUTION INVITING ALL GOVERNMENTS TO PROHIBIT ALL COLLABORATION WITH SOUTH AFRICA BY TRANSNATIONAL CORPORATIONS WITHIN THEIR JURISDICTION.,0,0,0,0,0,1,0,35019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2113,1980,35,12,133,0,0,1980-12-04,R/35/206G,0,0,CAMPAIGN AGAINST APARTHEID,TO APPROVE A RESOLUTION REQUESTING THE SPECIAL COMMITTEE AGAINST APARTHEID TO TAKE EFFECTIVE MEASURES TO PROMOTE INTERNATIONAL CAMPAIGNS AGAINST APARTHEID.,0,0,0,0,0,0,0,35020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2114,1980,35,21,103,19,0,1980-12-04,R/35/206H,0,0,"SOUTH AFRICA, ISRAEL",TO APPROVE A RESOLUTION STRONGLY CONDEMNING THE CONTINUING AND INCREASING COLLABORATION BY ISRAEL WITH SOUTH AFRICA.,1,0,0,0,0,0,0,35021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2115,1980,35,8,130,6,0,1980-12-04,R/35/206I,0,0,"SOUTH AFRICA, SANCTIONS CONFERENCE","TO APPROVE A RESOLUTION AUTHORIZING THE SPECIAL COMMITTEE AGAINST APARTHEID TO TAKE ALL NECESSARY STEPS, IN COOPERATION WITH THE ORGANIZATION OF AFRICAN UNITY, FOR THE ORGANIZATION OF THE INTERNATIONAL CONFERENCE ON SANCTIONS AGAINST SOUTH AFRI",0,0,0,0,0,0,0,35022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2116,1980,35,5,137,3,0,1980-12-04,R/35/206J,0,0,"SOUTH AFRICA, ASSISTANCE TO OPPOSITION","TO APPROVE A RESOLUTION APPEALING TO ALL STATES TO PROVIDE HUMANITARIAN, EDUCATIONAL, FINANCIAL AND OTHER ASSISTANCE TO THE OPPRESSED PEOPLE OF SOUTH AFRICA, AS WELL AS DIRECT ASSISTANCE TO THE LIBERATION MOVEMENTS IN THEIR LEGITIMATE STRUGGLE.",0,0,0,0,0,1,0,35023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2117,1980,35,15,131,0,0,1980-12-04,R/35/206M,0,0,"APARTHEID, SPORTS","TO APPROVE A RESOLUTION CONDEMNING THOSE SPORTS ORGANIZATIONS, SPORTSMEN AND PROMOTERS OF SPORTS EVENTS THAT HAVE COLLABORATED WITH SOUTH AFRICA IN VIOLATION OF THE RESOLUTIONS OF THE GENERAL ASSEMBLY.",0,0,0,0,0,0,0,35024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2118,1980,35,13,132,0,0,1980-12-04,R/35/206N,0,0,"SOUTH AFRICA, ASSISTANCE TO OPPOSITION","TO APPROVE A RESOLUTION APPEALING TO ALL GOVERNMENTS AND ORGANIZATIONS TO SUPPORT THE VARIOUS PROJECTS OF THE LIBERATION MOVEMENTS DESIGNED TO ASSIST REFUGEES, WOMEN AND CHILDREN, FROM SOUTH AFRICA AND NAMIBIA.",0,0,0,0,0,0,0,35025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2119,1980,35,22,114,10,0,1980-12-04,R/35/206O,0,0,"SOUTH AFRICA, S.C. SANCTIONS",TO APPROVE A RESOLUTION REQUESTING THE SECURITY COUNCIL TO IMPOSE IMMEDIATE AND TOTAL MANDATORY SANCTIONS ON SOUTH AFRICA.,0,0,0,0,0,0,0,35026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2120,1980,35,5,141,0,0,1980-12-04,R/35/206P,0,0,"APARTHEID, COMMITTEE",TO APPROVE A RESOLUTION AUTHORIZING THE SPECIAL COMMITTEE AGAINST APARTHEID TO SEND MISSIONS TO MEMBER STATES AND INTERGOVERNMENTAL ORGANIZATIONS TO PROMOTE INTERNATIONAL ACTION AGAINST APARTHEID.,0,0,0,0,0,0,0,35027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2121,1980,35,9,137,0,0,1980-12-04,R/35/206Q,0,0,"SOUTH AFRICA, ECONOMIC ISOLATION","TO APPROVE A RESOLUTION URGING THE SECURITY COUNCIL TO CONSIDER TAKING EFFECTIVE STEPS TO ACHIEVE THE CESSATION OF FURTHER FOREIGN INVESTMENTS IN, AND FINANCIAL LOANS TO, SOUTH AFRICA.",0,0,0,0,0,1,0,35028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2122,1980,35,30,101,13,0,1980-12-04,R/35/207,0,0,"ISRAEL, OCCUPIED TERRIROTIES","TO APPROVE A RESOLUTION CONDEMNING ISRAEL'S CONTINUED OCCUPATION OF PALESTINIAN AND OTHER ARAB TERRITORIES, RENEWING THE CALL FOR IMMEDIATE, UNCONDITIONAL AND TOTAL WITHDRAWL OF ISRAEL FROM ALL THESE OCCUPIED TERRITORIES, AND REJECTING ALL PART",1,0,0,0,1,0,0,35029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2123,1980,35,21,114,0,0,1980-12-07,R/35/142B,0,0,MILITARY EXPENDITURE REPORTS,TO APPROVE A RESOLUTION RECOMMENDING THAT ALL MEMBER STATES SHOULD MAKE USE OF A PROPOSED REPORTING INSTRUMENT AND REPORT ANNUALLY TO THE SECRETARY-GENERAL THEIR MILITARY EXPENDITURES OF THE LATEST FISCAL YEAR.,0,0,0,0,0,0,0,35030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2124,1980,35,5,138,0,0,1980-12-07,R/35/143,0,0,"DENUCLEARIZATION, LATIN AMERICA",TO APPROVE A RESOLUTION REGRETTING THAT THE SIGNATURES OF THE UNITED STATES AND OF FRANCE ON THE ADDITIONAL PROTOCOL I OF THE TREATY FOR THE PROHIBITION OF NUCLEAR WEAPONS IN LATIN AMERICA HAVE NOT YET BEEN FOLLOWED BY THE CORRESPONDING RATIFIC,0,1,1,0,0,0,0,35031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2125,1980,35,38,76,17,0,1980-12-07,R/35/144C,0,0,"CHEMICAL, BIOLOGICAL WEAPONS","TO APPROVE A RESOLUTION CALLING UPON ALL STATES PARTIES TO THE 1925 PROTOCOL FOR THE PROHIBITION OF THE USE IN WAR OF ASPHYXIATING, POISONOUS, OR OTHER GASES, AND OF BACTERIOLOGICAL METHODS OF WARFARE, TO REAFFIRM THEIR DETERMINATION STRICTLY T",0,0,1,0,1,0,0,35032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
